emg smp,emg val,bioz smp,bioz val,mmg smp,mmg val
0,-0.041294,0,0,0,0
1,-0.040007,0,0,0,0
2,-0.044727,0,0,0,0
3,-0.046301,0,0,0,0
4,-0.048065,0,0,0,0
5,-0.041771,0,0,0,0
6,-0.043869,0,0,0,0
7,-0.050163,0,0,0,0
8,-0.047779,0,0,0,0
9,-0.04549,0,0,0,0
10,-0.047636,0,0,0,0
11,-0.045872,0,0,0,0
12,-0.048018,0,0,0,0
13,-0.045681,0,0,0,0
14,-0.043058,0,0,0,0
15,-0.042534,0,0,0,0
0,0,0,0,0,417.0
0,0,0,0,1,779.0
0,0,0,0,2,963.0
0,0,0,0,3,943.0
0,0,0,0,4,1093.0
0,0,0,0,5,983.0
0,0,0,0,6,1023.0
0,0,0,0,7,1177.0
0,0,0,0,8,1085.0
0,0,0,0,9,971.0
0,0,0,0,10,1147.0
0,0,0,0,11,1041.0
0,0,0,0,12,1130.0
0,0,0,0,13,1198.0
0,0,0,0,14,1232.0
16,-0.042582,0,0,0,0
17,-0.046873,0,0,0,0
18,-0.042343,0,0,0,0
19,-0.043583,0,0,0,0
20,-0.04406,0,0,0,0
21,-0.045538,0,0,0,0
22,-0.044537,0,0,0,0
23,-0.041056,0,0,0,0
24,-0.046349,0,0,0,0
25,-0.043344,0,0,0,0
26,-0.043726,0,0,0,0
27,-0.043774,0,0,0,0
28,-0.042582,0,0,0,0
29,-0.04735,0,0,0,0
30,-0.040531,0,0,0,0
31,-0.039625,0,0,0,0
0,0,0,0,15,-99.0
0,0,0,0,16,52.0
0,0,0,0,17,102.0
0,0,0,0,18,-123.0
0,0,0,0,19,-297.0
0,0,0,0,20,57.0
0,0,0,0,21,109.0
0,0,0,0,22,73.0
0,0,0,0,23,-111.0
0,0,0,0,24,23.0
0,0,0,0,25,120.0
0,0,0,0,26,-34.0
0,0,0,0,27,-6.0
0,0,0,0,28,-100.0
0,0,0,0,29,50.0
32,-0.045109,0,0,0,0
